id,type,title,description,google_price_num,apple_price_tier,payouts
herotd.combatbundle,1,Combat Bundle,Unlocks 3x Damage and 2x Kill Gold,17.99,18,"[{""t"": ""Other"", ""st"": """", ""q"": 0.0, ""d"": """"}]"
herotd.powerbundle,1,Power Bundle,Unlocks 3x Prestige Power and 2x Kill Exp,17.99,18,[]
herotd.efficiencybundle,1,Efficiency Bundle,Unlocks Max Game Speed and 2x Battlepass Exp,25.99,26,[]
herotd.skipads,1,Skip Ads,Get rewards from ads without watching them.,5.99,6,[]
herotd.offlineunlimited,1,Infinite Offline Progress,Removes limit to offline progress time.,5.99,6,[]
herotd.damage3x,1,3x Damage,Permanently triple hero damage.,9.99,10,[]
herotd.gold2x,1,2x Kill Gold,Permanently double kill gold rewards.,9.99,10,[]
herotd.prestige3x,1,3x Prestige Power,Permanently triple prestige power gains.,9.99,10,[]
herotd.killexp2x,1,2x Kill Exp,Permanently double kill exp gains.,9.99,10,[]
herotd.battlepassexp2x,1,2x Battlepass Exp,Permanently double battlepass exp.,14.99,15,[]
herotd.gamespeed,1,Max Game Speed,Unlocks the maximum game speed setting.,14.99,15,[]
herotd.battlepasspremium,1,Premium Battlepass,Unlocks the premium battlepass rewards.,19.99,20,[]
herotd.dailygiftpremium,1,Premium Daily Gifts,Unlocks the premium daily gift rewards.,14.99,15,[]
herotd.promotowers4,1,Epic Towers,Unlocks rare and epic towers.,14.99,15,[]
herotd.promotowers5,1,Legendary Towers,Unlocks legendary towers.,24.99,25,[]
herotd.promotowers6,1,Mythic Towers,Unlocks mythic towers.,34.99,35,[]
herotd.gems1,0,Handful of Gems,Rewards some gems.,4.99,5,[]
herotd.gems2,0,Pile of Gems,Rewards some gems.,9.99,10,[]
herotd.gems3,0,Sack of Gems,Rewards some gems.,19.99,20,[]
herotd.gems4,0,Chest of Gems,Rewards some gems.,49.99,50,[]
herotd.gems5,0,Vault of Gems,Rewards some gems.,99.99,60,[]
herotd.respack4,0,Ultimate Resource Pack,Rewards tons of resources.,24.99,25,[]
herotd.runepack4,0,Mythic Rune Pack,Rewards tons of runes.,24.99,25,[]
herotd.tournrewards,1,Tournament Boost,Increases your tournament rewards.,5.99,15,[]
