upgrade_key,resource,metric,base_cost,mult_cost,max_level,override_formula_endgame,formula_class,level_index,extra_multiplier_class
researchDmg1,energy,damage,5.0,1.0,999999,,research_pow_target_round_each_step,target_level,none_for_core_rows
researchDmg2,energy,damage,75.0,1.0,999999,,research_pow_target_round_each_step,target_level,none_for_core_rows
researchDmg3,energy,damage,1000.0,1.0,999999,,research_pow_target_round_each_step,target_level,none_for_core_rows
researchDmg4,energy,damage,10000.0,1.0,999999,,research_pow_target_round_each_step,target_level,none_for_core_rows
researchDmg5,energy,damage,100000.0,1.0,999999,,research_pow_target_round_each_step,target_level,none_for_core_rows
researchDmg6,energy,damage,1500000026624.0,3.0,999999,,research_pow_target_round_each_step,target_level,none_for_core_rows
researchKillGold1,energy,kill_gold,5.0,1.0,999999,,research_pow_target_round_each_step,target_level,none_for_core_rows
researchKillGold2,energy,kill_gold,75.0,1.0,999999,,research_pow_target_round_each_step,target_level,none_for_core_rows
researchKillGold3,energy,kill_gold,1000.0,1.0,999999,,research_pow_target_round_each_step,target_level,none_for_core_rows
researchKillGold4,energy,kill_gold,10000.0,1.0,999999,,research_pow_target_round_each_step,target_level,none_for_core_rows
researchKillGold5,energy,kill_gold,100000.0,1.0,999999,,research_pow_target_round_each_step,target_level,none_for_core_rows
researchKillGold6,energy,kill_gold,1500000026624.0,3.0,999999,,research_pow_target_round_each_step,target_level,none_for_core_rows
researchPrestigePower1,energy,prestige_power,10.0,1.0,999999,,research_pow_target_round_each_step,target_level,none_for_core_rows
researchPrestigePower2,energy,prestige_power,150.0,1.0,999999,,research_pow_target_round_each_step,target_level,none_for_core_rows
researchPrestigePower3,energy,prestige_power,2500.0,1.0,999999,,research_pow_target_round_each_step,target_level,none_for_core_rows
researchPrestigePower4,energy,prestige_power,40000.0,1.0,999999,,research_pow_target_round_each_step,target_level,none_for_core_rows
researchPrestigePower5,energy,prestige_power,24999999488.0,3.0,999999,,research_pow_target_round_each_step,target_level,none_for_core_rows
prestigeDmg1,prestige_points,damage,500.0,1.100000023841858,999999,0,powerups_normal_target_pow_bigdouble_round_total,target_level,powerups_thresholds_and_endgame_slope
prestigeDmg2,prestige_points,damage,100000.0,1.2000000476837158,999999,0,powerups_normal_target_pow_bigdouble_round_total,target_level,powerups_thresholds_and_endgame_slope
prestigeDmg3,prestige_points,damage,2000000000.0,1.2999999523162842,999999,0,powerups_normal_target_pow_bigdouble_round_total,target_level,powerups_thresholds_and_endgame_slope
prestigeDmg4,prestige_points,damage,5000000000000.0,1.399999976158142,999999,0,powerups_normal_target_pow_bigdouble_round_total,target_level,powerups_thresholds_and_endgame_slope
prestigeDmg5,prestige_points,damage,1e17,1.5,999999,0,powerups_normal_target_pow_bigdouble_round_total,target_level,powerups_thresholds_and_endgame_slope
prestigeDmg6,prestige_points,damage,1e28,3.0,999999,0,powerups_normal_target_pow_bigdouble_round_total,target_level,powerups_thresholds_and_endgame_slope
prestigeDmg7,prestige_points,damage,1e52,2.0,999,1,powerups_override_geo_prev_level_bigdouble_round_total,target_level_minus_1,powerups_thresholds_no_endgame_slope_for_max_999
prestigeKillGold1,prestige_points,kill_gold,500.0,1.100000023841858,999999,0,powerups_normal_target_pow_bigdouble_round_total,target_level,powerups_thresholds_and_endgame_slope
prestigeKillGold2,prestige_points,kill_gold,100000.0,1.2000000476837158,999999,0,powerups_normal_target_pow_bigdouble_round_total,target_level,powerups_thresholds_and_endgame_slope
prestigeKillGold3,prestige_points,kill_gold,2000000000.0,1.2999999523162842,999999,0,powerups_normal_target_pow_bigdouble_round_total,target_level,powerups_thresholds_and_endgame_slope
prestigeKillGold4,prestige_points,kill_gold,5000000000000.0,1.399999976158142,999999,0,powerups_normal_target_pow_bigdouble_round_total,target_level,powerups_thresholds_and_endgame_slope
prestigeKillGold5,prestige_points,kill_gold,1e17,1.5,999999,0,powerups_normal_target_pow_bigdouble_round_total,target_level,powerups_thresholds_and_endgame_slope
prestigeKillGold6,prestige_points,kill_gold,1e24,2.0,999999,0,powerups_normal_target_pow_bigdouble_round_total,target_level,powerups_thresholds_and_endgame_slope
prestigeKillGold7,prestige_points,kill_gold,1e52,2.0,999,1,powerups_override_geo_prev_level_bigdouble_round_total,target_level_minus_1,powerups_thresholds_no_endgame_slope_for_max_999
