system,metric,upgrade_key,upgrade_num,data_manager_field,data_manager_offset,stat_amt_percent,percent_per_level,wave_req,max_level,base_cost,mult_cost,override_formula_endgame,formula_factor,source_method,source_address,unity_path_id,gameobject_name
research_energy,damage,researchDmg1,1,researchDmg1,0xAE0,5,0.05,0,999999,5.0,1.0,,1 + level * 0.05,Hero.getDmgPermEffect,0x01BB3BF0,308530,damage 1
research_energy,damage,researchDmg2,2,researchDmg2,0xAF0,10,0.10,250,999999,75.0,1.0,,1 + level * 0.10,Hero.getDmgPermEffect,0x01BB3C44,303999,damage 2
research_energy,damage,researchDmg3,3,researchDmg3,0xAFC,25,0.25,750,999999,1000.0,1.0,,1 + level * 0.25,Hero.getDmgPermEffect,0x01BB3C94,303997,damage 3
research_energy,damage,researchDmg4,4,researchDmg4,0xB00,50,0.50,1500,999999,10000.0,1.0,,1 + level * 0.50,Hero.getDmgPermEffect,0x01BB3CE4,304008,damage 4
research_energy,damage,researchDmg5,5,researchDmg5,0xB04,75,0.75,4000,999999,100000.0,1.0,,1 + level * 0.75,Hero.getDmgPermEffect,0x01BB3D30,304025,damage 5
research_energy,damage,researchDmg6,6,researchDmg6,0xB0C,100,1.00,30000,999999,1500000026624.0,3.0,,1 + level * 1.00,Hero.getDmgPermEffect,0x01BB3D80,304013,damage 6
research_energy,kill_gold,researchKillGold1,1,researchKillGold1,0xB18,5,0.05,0,999999,5.0,1.0,,1 + level * 0.05,GameManager.getBaseGoldDrop,0x01B8D238,304003,gold 1
research_energy,kill_gold,researchKillGold2,2,researchKillGold2,0xB2C,10,0.10,250,999999,75.0,1.0,,1 + level * 0.10,GameManager.getBaseGoldDrop,0x01B8D28C,303989,gold 2
research_energy,kill_gold,researchKillGold3,3,researchKillGold3,0xB38,25,0.25,750,999999,1000.0,1.0,,1 + level * 0.25,GameManager.getBaseGoldDrop,0x01B8D2DC,304024,gold 3
research_energy,kill_gold,researchKillGold4,4,researchKillGold4,0xB40,50,0.50,1500,999999,10000.0,1.0,,1 + level * 0.50,GameManager.getBaseGoldDrop,0x01B8D32C,304004,gold 4
research_energy,kill_gold,researchKillGold5,5,researchKillGold5,0xB48,75,0.75,4000,999999,100000.0,1.0,,1 + level * 0.75,GameManager.getBaseGoldDrop,0x01B8D378,304015,gold 5
research_energy,kill_gold,researchKillGold6,6,researchKillGold6,0xB50,100,1.00,30000,999999,1500000026624.0,3.0,,1 + level * 1.00,GameManager.getBaseGoldDrop,0x01B8D3C8,304026,gold 6
