line,categories,string
21,Functions,"IF ALL THE TYPES ARE IN THE SUPPORT LIST AND YOU STILL GET THIS ERROR, PLEASE REPORT AN ISSUE.The exception contained the following message:"
25,Functions,var unityObject = kongregateUnitySupport.getUnityObject();
27,Functions,"var params=[services.getUserId(), services.getUsername(),"
28,Functions,services.getGameAuthToken()].join('|');
54,Economy;Functions,<color=green>Current Bonus: +{0:n0} energy
55,CombatStats;Functions,<color=green>Current Bonus: +{0:n0}% crit / +{1:n0}% super / +{2:n0}% ultra
56,CombatStats;Functions,<color=green>Current Bonus: +{0:n0}% crit dmg
57,CombatStats;Functions,<color=green>Current Bonus: +{0:n0}% dmg
58,CombatStats;Functions,<color=green>Current Bonus: +{0:n0}% dmg / +{1:n0}% speed
59,Economy;Functions,<color=green>Current Bonus: +{0:n0}% energy
60,Economy;Functions,<color=green>Current Bonus: +{0:n0}% exp
61,Economy;Functions,<color=green>Current Bonus: +{0:n0}% gold
62,CombatStats;Functions,<color=green>Current Bonus: +{0:n0}% splash dmg
63,CombatStats;Functions,<color=green>Current Bonus: +{0:n0}% super crit dmg
64,Economy;Functions,<color=green>Current Bonus: +{0:n0}% super exp
65,Economy;Functions,<color=green>Current Bonus: +{0:n0}% ultra gold
66,Functions,<color=green>Target Enemy is N/A
67,CombatStats;Functions,<color=green>Target Enemy: {0:n0}% HP
69,Heroes;CombatStats,<color=orange>(
70,Heroes;CombatStats,<color=orange><size=22><i>(personal effect)</i></size></color>
71,Heroes;CombatStats,<color=orange><size=24><i>(personal effect)</i></size></color>
72,Heroes;CombatStats,<color=orange><size=28><i>(personal effect)</i></size></color>
74,CombatStats,<color=red>-20%</color> Attack Speed
75,Economy,<color=red>-35%</color> Kill Gold
76,Progression;Economy;Functions,<color=red>-35%</color> Rank Exp
77,Heroes;CombatStats,<color=red>-50%</color> Damage
78,Progression;Economy;Functions,<color=red>-50%</color> Rank Exp
82,Heroes;CombatStats;Functions,<size=32><color=yellow>+{0}%</color> Ultra Crit Chance / <color=yellow>+{1}%</color> Ultra Crit Damage</size>
83,CombatStats;Functions,<size=32><color=yellow>+{0}%</color> Ultra Crit Chance</size>
84,Heroes;CombatStats,<size=32><color=yellow>+{0}%</color> Ultra Crit Damage</size>
