category,line,name,meaning_guess
prestige,1026,prestigeWave,
prestige,1092,prestigeWaveSlider,
prestige,1093,prestigeMaxValue,
prestige,1094,prestigeWavePctText,
prestige,1095,prestigeWaveMaxText,
prestige,1096,prestigeWaveNumText,
ultimus,1099,ultimusWaveCover,
ultimus,1100,ultimusWaveButtonText,
ultimus,1101,ultimusTypeCover,
ultimus,1102,ultimusTypeButtonImage,
ultimus,1103,ultimusTypeButtonText,
ultimus,1305,ultimusRectTransform,
ultimus,1312,ultimusTokens1,
ultimus,1319,ultimusTokens2,
ultimus,1326,ultimusTokens3,
ultimus,1424,ultimusLockedPanel,
ultimus,1425,ultimusLockedRect,
ultimus,1426,ultimusLockedHpText,
ultimus,1427,ultimusLockedRewardText,
ultimus,1428,ultimusUnlockedPanel,
ultimus,1429,ultimusUnlockedRect,
ultimus,1430,ultimusHpText,
ultimus,1431,ultimusSpawnsSlider,
ultimus,1432,ultimusSpawnsCurrentText,
ultimus,1433,ultimusSpawnsCooldownText,
ultimus,1434,ultimusResAmount,
ultimus,1435,ultimusMeleeSpawnButton,
ultimus,1436,ultimusMeleeSpawnButtonTitle,
ultimus,1437,ultimusMeleeSpawnButtonCost,
ultimus,1438,ultimusMeleeNaCover,
ultimus,1439,ultimusMeleeNaCoverText,
ultimus,1440,ultimusMageSpawnButton,
ultimus,1441,ultimusMageSpawnButtonTitle,
ultimus,1442,ultimusMageSpawnButtonCost,
ultimus,1443,ultimusMageNaCover,
ultimus,1444,ultimusMageNaCoverText,
ultimus,1445,ultimusRangeSpawnButton,
ultimus,1446,ultimusRangeSpawnButtonTitle,
ultimus,1447,ultimusRangeSpawnButtonCost,
ultimus,1448,ultimusRangeNaCover,
ultimus,1449,ultimusRangeNaCoverText,
ultimus,1450,ultimusSupremePanel,
ultimus,1451,ultimusSupremeSpawnButton,
ultimus,1452,ultimusSupremeSpawnButtonTitle,
ultimus,1453,ultimusSupremeSpawnButtonCost,
ultimus,1454,ultimusSupremeNaCover,
ultimus,1455,ultimusSupremeNaCoverText,
runes,1532,runeTextFree,
runes,1540,runeRewardFree,
runes,1544,runeTextPremium,
runes,1552,runeRewardPremium,
iap_flags,1575,iapBuyPanel,
iap_flags,1576,iapButtonText,
resources,1635,resGold,
resources,1636,resGold_big,
resources,1637,resEnergy,
resources,1638,resEnergy_double,
resources,1639,resGems,
resources,1640,resPrestigePoints,
resources,1641,resPrestigePoints_big,
resources,1642,resTechPts,
resources,1643,resTechSupremePts,
resources,1644,resWeeklyTickets,
resources,1645,resTournPts,
resources,1646,resTokensBlue,
resources,1647,resTokensRed,
resources,1648,resTokensGreen,
resources,1649,resTokensSupreme,
resources,1650,resTowerLives,
resources,1651,resMasteryPoints,
resources,1652,resMapPoints_map0,
resources,1653,resMapPoints_map1,
resources,1654,resMapPoints_map2,
resources,1655,resMapPoints_map3,
resources,1656,resMapPoints_map4,
resources,1657,resMapPoints_map5,
resources,1658,resMapPoints_map6,
iap_flags,1659,iapDamage,
iap_flags,1660,iapKillGold,
iap_flags,1661,iapPrestigePower,
iap_flags,1662,iapKillExp,
iap_flags,1663,iapGameSpeed,
iap_flags,1664,iapBattlepassExp,
iap_flags,1665,iapGems1,
iap_flags,1666,iapGems2,
iap_flags,1667,iapGems3,
iap_flags,1668,iapGems4,
iap_flags,1669,iapGems5,
iap_flags,1670,iapSkipAds,
iap_flags,1671,iapOfflinePerk,
iap_flags,1672,iapDailyGiftPremium,
iap_flags,1673,iapBattlepassPremium,
iap_flags,1674,iapTournBoost,
iap_flags,1675,iapPvpBossBoost,
