hero_id,hero_name,gameobject_name,hero_class,hero_rarity,pronoun,base_cost,base_dps_ratio,base_att_speed,base_range_ratio,base_crit_chance,skill_title,base_skill_active_time,base_skill_cooldown_time,skill_power_bonus_effect,skill_duration_time_effect,skill_mastery_base_req_val,milestone_upgrades,milestone_count,backstory,gameobject_path_id,hero_behaviour_path_id,is_prefab,prefab_hero_path_id,head_icon_path_id,full_icon_path_id
0,Militia,militia (1h sword medium),0,1,him,5,1.0,1.0,0.8999999761581421,1,Spin Attack,1.0,24.0,+30%,0.0,35000,1|9|8|4|14|9|12|2|16|26|0|35|40|38|2|23|19,0,"Militia, originally a humble farmer, was thrust into the role of a soldier when his village faced imminent threat. Adapting quickly to his new life, he mastered the art of swordplay, particularly a devastating spinning attack that damages all nearby enemies. This self-taught technique, born from his days using farm tools, became his signature move on the battlefield, making him a whirlwind of steel in close combat. Despite his rough transition from plowshares to swords, Militia's resilience and quick learning have earned him respect among his peers. He stands as a fierce protector of his fellow villagers, embodying the spirit of a warrior who rose from the soil to defend his home.",50703,306419,1,306419,2530,2481
1,Viking,viking (1h sword medium),0,1,her,10,1.2000000476837158,1.25,0.8999999761581421,3,Berserk,10.0,24.0,+10%,1.0,25000,3|7|13|0|9|6|10|32|12|4|1|20|31|17|41|44|23,0,"Viking is an intrepid explorer and fierce warrior whose reputation extends far beyond her northern shores. Her explorations into unknown lands are matched only by her prowess in battle, where she employs a frenzy attack style that overwhelms her enemies with sheer ferocity and speed. Viking's adventures have not only charted new territories but also tested her mettle against a myriad of foes, earning her the respect and fear of all who hear her name. Her fearless nature and relentless combat style make her a legendary figure, as she carves a path of discovery and conquest across the world. Viking's spirit is as untamable as the wild seas she sails, embodying the true essence of her warrior ancestors.",70971,305535,1,305535,2592,2605
2,Ninja,ninja (dual daggers fast),0,2,him,50,1.0,1.75,0.800000011920929,8,Sneak Attack,10.0,20.0,+50%,1.0,35000,4|5|10|3|11|14|9|19|25|0|40|34|30|40|26|37|39,0,"Ninja is a master of stealth and precision, wielding dual daggers with deadly expertise. His signature move, a swift and silent sneak attack, allows him to disable foes before they even realize he's there. Trained in the ancient arts of infiltration and assassination, Ninja moves like a shadow through the night, leaving no trace but the whisper of his blades. His reputation as a ghostly figure who strikes without warning has become a tale of caution among his enemies. With each mission, Ninja further cements his status as a formidable and elusive warrior, feared by those who stand against him and revered by those who seek his skills.",75441,312627,1,312627,2702,2615
3,Assassin,assassin (dual daggers fast),0,2,her,100,1.2000000476837158,1.5,0.800000011920929,5,Execute,10.0,32.0,+1%,1.0,25000,9|0|6|11|3|4|7|26|32|10|21|0|35|12|1|22|10,0,"Assassin is renowned for her ability to execute enemies without a sound. Her lethal prowess is matched only by her ghost-like ability to vanish into the shadows immediately after striking, making her a whispered legend among the elite circles of espionage and sabotage. Trained from a young age in the dark arts of assassination, her movements are fluid and almost invisible, her attacks calculated to be fatal and swift. Her reputation as a flawless executioner makes her a highly sought-after figure for the most delicate and dangerous missions. Assassin embodies the essence of a shadow warrior, her very presence—or lack thereof—striking fear into the hearts of those marked by her chilling touch.",57436,296877,1,296877,2609,2567
4,Peacekeeper,peacekeeper (1h sword medium),0,3,him,500,0.8999999761581421,0.8999999761581421,1.0,5,Incarcerate,10.0,24.0,+0.5%,1.0,25000,10|8|14|5|4|0|15|9|12|40|22|28|1|26|30|50|23,0,"Peacekeeper is a seasoned warrior known for his role in decisively ending conflicts by targeting and neutralizing weakened enemies. His strategic prowess and combat efficiency ensure that battles are concluded quickly, minimizing further casualties. Trained to maintain order and peace, Peacekeeper operates with a blend of compassion and ruthlessness, choosing to strike only when necessary to prevent greater chaos. His nickname, ""Merciful,"" reflects his method of sparing the strong from needless battle, while swiftly ending the suffering of the already defeated. In the eyes of many, Peacekeeper stands as both a harbinger of resolution and a protector, embodying a unique balance between mercy and warrior's duty.",87791,316916,1,316916,2593,2455
5,Samurai,samurai (1h sword fast),0,3,her,1000,1.2000000476837158,1.0,0.8999999761581421,5,Immolation,10.0,24.0,+3%,1.0,35000,6|12|9|4|1|13|2|10|18|33|29|1|34|17|9|22|58,0,"Samurai is a master swordsman whose unparalleled skill allows her to strike multiple enemies with a single, fluid motion. Her technique, honed through years of disciplined training in the way of the sword, is both beautiful and deadly, a dance of blades that leaves foes bewildered and defeated. Her reputation as a fearsome warrior has spread far beyond her homeland, earning her respect and fear on any battlefield. Her ability to assess and react to the movements of several adversaries simultaneously makes her an invaluable asset in large skirmishes. Samurai embodies the spirit of the warrior, combining grace, precision, and lethal efficiency in every battle she enters.",22477,280121,1,280121,2745,2753
6,Paladin,paladin (2h hammer very slow),0,4,her,5000,1.399999976158142,0.5,1.0,3,Splash,10.0,28.0,+3%,1.0,25000,15|10|1|9|2|8|11|16|4|32|40|30|0|2|40|26|13,0,"Paladin wields a massive, rune-etched hammer that devastates multiple enemies with each sweeping blow. Her strength and skill in battle are legendary, allowing her to control the flow of combat with thunderous strikes that resonate across the front lines. Trained as a knight in an ancient order, Paladin has adapted her order's teachings to maximize the destructive potential of her chosen weapon. Her presence in a fight is both a rallying point for her allies and a harbinger of defeat for her foes, as she embodies the relentless courage and unyielding force of a true paladin. With every swing of her hammer, she enforces justice and protects the innocent, her name synonymous with valor and power.",34840,283139,1,283139,2828,2635
7,Gladiator,gladiator (1h axe slow),0,4,him,10000,1.100000023841858,0.699999988079071,0.8999999761581421,1,Killjoy,10.0,24.0,+4%,1.0,25000,7|3|4|10|13|9|6|0|33|40|23|1|29|17|3|18|23,0,"Gladiator rose from the harsh life of a slave to become a fearsome warrior, his strength growing with each enemy he defeats. In the arena, his prowess became legend, each victory fueling a physical transformation that enhanced his already formidable abilities. Now free, he channels the pain of his past into the heat of battle, where his increasing might serves as both a weapon and a shield. As he travels the lands, seeking to right the injustices of his former life, each confrontation adds to his strength, making him an ever more unstoppable force. Gladiator's journey from bondage to freedom is marked by the scars of battle and the countless foes he has overcome, his name echoing as a symbol of resilience and power.",29879,295526,1,295526,2599,2659
8,Berserker,berserker (dual axe fast),0,5,her,40000,1.399999976158142,1.5,0.800000011920929,5,Cleave,10.0,28.0,+0.3x,1.0,25000,8|14|12|5|10|15|1|4|2|9|31|20|0|41|30|23|2,0,"Berserker wields dual axes with unmatched ferocity, unleashing a whirlwind of destruction upon her enemies. Her battle style is characterized by a relentless frenzy that allows her to strike multiple foes simultaneously, her axes slicing through the chaos of combat with lethal precision. This fearsome warrior draws on her intense rage and battle lust to overwhelm her opponents, turning the tide of battle with her sheer force of will and physical prowess. As she moves through the battlefield, her enemies falter under the storm of her attacks, marking her as a formidable presence feared and respected in equal measure. Berserker's reputation precedes her, a warning to any who would stand against her wild fury.",35577,289330,1,289330,2814,2761
9,Chieftain,chieftan (1h sword slow),0,5,him,80000,1.2999999523162842,0.800000011920929,1.0,5,Ground Slam,3.0,28.0,+25% / +1%,0.5,35000,2|1|9|7|14|12|4|25|10|17|0|30|35|33|0|40|39,0,"Chieftain commands respect as a formidable warrior chief renowned for his powerful ground slam attack that sends shockwaves through the ranks of his enemies. Leading his tribe with a mix of stern authority and unwavering courage, Chieftain's signature move is both a battle tactic and a symbol of his leadership, crushing the earth and enemy morale alike. His presence on the battlefield is magnetic, rallying his warriors with roars as deep as the tremors he creates. This ability not only devastates his foes but also fortifies the spirits of his tribe, reinforcing their belief in their chief's might and their cause. His legacy is written in the dust of shattered ground, a testament to his strength and the fierce loyalty he inspires.",10650,314374,1,314374,2840,2693
