hero_id,hero_name,hero_class,hero_rarity,synergy_num,tier,rank_required,required_slot,required_hero_id,required_hero_name,required_hero_class,required_hero_rarity,required_hero_path_id
0,Militia,0,1,1,1,0,synergyHero1,12,Apprentice,1,1,277314
0,Militia,0,1,2,1,0,synergyHero2_1,1,Viking,0,1,305535
0,Militia,0,1,2,1,0,synergyHero2_2,24,Scout,2,1,317780
0,Militia,0,1,3,2,15,synergyHero3,4,Peacekeeper,0,3,316916
0,Militia,0,1,4,2,15,synergyHero4_1,13,Druid,1,1,285341
0,Militia,0,1,4,2,15,synergyHero4_2,18,Battlemage,1,4,309008
0,Militia,0,1,5,3,50,synergyHero5,7,Gladiator,0,4,295526
0,Militia,0,1,6,3,50,synergyHero6_1,21,Warlock,1,5,287059
0,Militia,0,1,6,3,50,synergyHero6_2,34,Captain,2,6,313636
0,Militia,0,1,7,4,100,synergyHero7,15,Witch,1,2,318062
0,Militia,0,1,8,4,100,synergyHero8_1,10,Champion,0,6,300301
0,Militia,0,1,8,4,100,synergyHero8_2,33,Crusader,2,5,314873
0,Militia,0,1,9,5,150,synergyHero9,36,Praetorian,0,7,318494
0,Militia,0,1,10,5,150,synergyHero10_1,23,Necromancer,1,6,278537
0,Militia,0,1,10,5,150,synergyHero10_2,29,Arbalest,2,3,305299
0,Militia,0,1,11,6,250,synergyHero11,35,Warden,2,6,302043
0,Militia,0,1,12,6,250,synergyHero12_1,37,Titan,0,7,299058
0,Militia,0,1,12,6,250,synergyHero12_2,27,Archer,2,2,284600
0,Militia,0,1,13,7,500,synergyHero13,32,Ballista,2,5,317683
0,Militia,0,1,14,7,500,synergyHero14_1,19,Spelldancer,1,4,271770
0,Militia,0,1,14,7,500,synergyHero14_2,29,Arbalest,2,3,305299
0,Militia,0,1,15,8,1000,synergyHero15_1,7,Gladiator,0,4,295526
0,Militia,0,1,15,8,1000,synergyHero15_2,14,Sorcerer,1,2,311478
0,Militia,0,1,15,8,1000,synergyHero15_3,34,Captain,2,6,313636
0,Militia,0,1,16,8,1000,synergyHero16_1,2,Ninja,0,2,312627
0,Militia,0,1,16,8,1000,synergyHero16_2,29,Arbalest,2,3,305299
0,Militia,0,1,16,8,1000,synergyHero16_3,34,Captain,2,6,313636
1,Viking,0,1,1,1,0,synergyHero1,13,Druid,1,1,285341
1,Viking,0,1,2,1,0,synergyHero2_1,0,Militia,0,1,306419
1,Viking,0,1,2,1,0,synergyHero2_2,24,Scout,2,1,317780
1,Viking,0,1,3,2,15,synergyHero3,19,Spelldancer,1,4,271770
1,Viking,0,1,4,2,15,synergyHero4_1,3,Assassin,0,2,296877
1,Viking,0,1,4,2,15,synergyHero4_2,29,Arbalest,2,3,305299
1,Viking,0,1,5,3,50,synergyHero5,25,Hunter,2,1,294026
