hero_id,hero_name,hero_class,hero_rarity,synergy_num,tier,rank_required,required_count_excluding_self,active_heroes_needed_including_self,required_hero_ids,required_hero_names,required_hero_classes,required_hero_rarities,required_hero_path_ids,synergy_upgrade_id,synergy_upgrade_name,base_bonus_value,base_bonus_raw,base_bonus_text,missing_refs
0,Militia,0,1,1,1,0,1,2,12,Apprentice,1,1,277314,0,damage_global,10,10.0,+10%,
0,Militia,0,1,2,1,0,2,3,1|24,Viking|Scout,0|2,1|1,305535|317780,12,skillCd_personal,10,10.0,-10%,
0,Militia,0,1,3,2,15,1,2,4,Peacekeeper,0,3,316916,15,killGold_personal,100,100.0,+100%,
0,Militia,0,1,4,2,15,2,3,13|18,Druid|Battlemage,1|1,1|4,285341|309008,0,damage_global,60,60.0,+60%,
0,Militia,0,1,5,3,50,1,2,7,Gladiator,0,4,295526,5,critChance_global,16,16.0,+16%,
0,Militia,0,1,6,3,50,2,3,21|34,Warlock|Captain,1|2,5|6,287059|313636,3,attSpeed_personal,100,100.0,+100%,
0,Militia,0,1,7,4,100,1,2,15,Witch,1,2,318062,40,energyIncome_global,1,1.0,+1,
0,Militia,0,1,8,4,100,2,3,10|33,Champion|Crusader,0|2,6|5,300301|314873,24,goldSuperChance_global,6,6.0,+6%,
0,Militia,0,1,9,5,150,1,2,36,Praetorian,0,7,318494,33,expSuperAmount_global,10,10.0,+10%,
0,Militia,0,1,10,5,150,2,3,23|29,Necromancer|Arbalest,1|2,6|3,278537|305299,17,superCritChance_personal,25,25.0,+25%,
0,Militia,0,1,11,6,250,1,2,35,Warden,2,6,302043,15,killGold_personal,500,500.0,+500%,
0,Militia,0,1,12,6,250,2,3,37|27,Titan|Archer,0|2,7|2,299058|284600,1,damage_personal,600,600.0,+600%,
0,Militia,0,1,13,7,500,1,2,32,Ballista,2,5,317683,33,expSuperAmount_global,20,20.0,+20%,
0,Militia,0,1,14,7,500,2,3,19|29,Spelldancer|Arbalest,1|2,4|3,271770|305299,40,energyIncome_global,8,8.0,+8,
0,Militia,0,1,15,8,1000,3,4,7|14|34,Gladiator|Sorcerer|Captain,0|1|2,4|2|6,295526|311478|313636,40,energyIncome_global,10,10.0,+10,
0,Militia,0,1,16,8,1000,3,4,2|29|34,Ninja|Arbalest|Captain,0|2|2,2|3|6,312627|305299|313636,39,energyUltraAmount_global,75,75.0,+75%,
1,Viking,0,1,1,1,0,1,2,13,Druid,1,1,285341,3,attSpeed_personal,10,10.0,+10%,
1,Viking,0,1,2,1,0,2,3,0|24,Militia|Scout,0|2,1|1,306419|317780,14,killExp_global,3,3.0,+3%,
1,Viking,0,1,3,2,15,1,2,19,Spelldancer,1,4,271770,8,critDmg_personal,100,100.0,+100%,
1,Viking,0,1,4,2,15,2,3,3|29,Assassin|Arbalest,0|2,2|3,296877|305299,11,skillCd_global,7,7.0,-7%,
1,Viking,0,1,5,3,50,1,2,25,Hunter,2,1,294026,41,skillPower_global,1,1.0,+1%,
1,Viking,0,1,6,3,50,2,3,14|39,Sorcerer|Dicemaster,1|1,2|7,311478|319449,1,damage_personal,250,250.0,+250%,
1,Viking,0,1,7,4,100,1,2,7,Gladiator,0,4,295526,19,superCritDmg_personal,850,850.0,+850%,
1,Viking,0,1,8,4,100,2,3,37|23,Titan|Necromancer,0|1,7|6,299058|278537,13,killGold_global,150,150.0,+150%,
1,Viking,0,1,9,5,150,1,2,40,Deadeye,2,7,310314,16,superCritChance_global,8,8.0,+8%,
1,Viking,0,1,10,5,150,2,3,5|17,Samurai|Elementalist,0|1,3|3,280121|274390,27,goldSuperAmount_personal,1250,1250.0,+1250%,
1,Viking,0,1,11,6,250,1,2,9,Chieftain,0,5,314374,0,damage_global,250,250.0,+250%,
1,Viking,0,1,12,6,250,2,3,28|33,Ranger|Crusader,2|2,3|5,304705|314873,41,skillPower_global,6,6.0,+6%,
1,Viking,0,1,13,7,500,1,2,11,Warlord,0,6,301908,49,ultraBossDmg_global,1400,1400.0,+1400%,
1,Viking,0,1,14,7,500,2,3,26|41,Forester|Veteran,2|2,2|7,314946|280126,41,skillPower_global,8,8.0,+8%,
1,Viking,0,1,15,8,1000,3,4,16|23|32,Wizard|Necromancer|Ballista,1|1|2,3|6|5,300064|278537|317683,44,bossExp_global,40,40.0,+40%,
1,Viking,0,1,16,8,1000,3,4,27|32|41,Archer|Ballista|Veteran,2|2|2,2|5|7,284600|317683|280126,41,skillPower_global,15,15.0,+15%,
2,Ninja,0,2,1,1,0,1,2,3,Assassin,0,2,296877,1,damage_personal,25,25.0,+25%,
2,Ninja,0,2,2,1,0,2,3,14|15,Sorcerer|Witch,1|1,2|2,311478|318062,8,critDmg_personal,50,50.0,+50%,
2,Ninja,0,2,3,2,15,1,2,31,Rogue,2,4,316887,5,critChance_global,8,8.0,+8%,
