hero_id,hero_name,hero_class,hero_rarity,synergy_01_required_heroes,synergy_01_required_hero_ids,synergy_01_tier,synergy_01_rank_required,synergy_01_upgrade,synergy_01_base_bonus,synergy_02_required_heroes,synergy_02_required_hero_ids,synergy_02_tier,synergy_02_rank_required,synergy_02_upgrade,synergy_02_base_bonus,synergy_03_required_heroes,synergy_03_required_hero_ids,synergy_03_tier,synergy_03_rank_required,synergy_03_upgrade,synergy_03_base_bonus,synergy_04_required_heroes,synergy_04_required_hero_ids,synergy_04_tier,synergy_04_rank_required,synergy_04_upgrade,synergy_04_base_bonus,synergy_05_required_heroes,synergy_05_required_hero_ids,synergy_05_tier,synergy_05_rank_required,synergy_05_upgrade,synergy_05_base_bonus,synergy_06_required_heroes,synergy_06_required_hero_ids,synergy_06_tier,synergy_06_rank_required,synergy_06_upgrade,synergy_06_base_bonus,synergy_07_required_heroes,synergy_07_required_hero_ids,synergy_07_tier,synergy_07_rank_required,synergy_07_upgrade,synergy_07_base_bonus,synergy_08_required_heroes,synergy_08_required_hero_ids,synergy_08_tier,synergy_08_rank_required,synergy_08_upgrade,synergy_08_base_bonus,synergy_09_required_heroes,synergy_09_required_hero_ids,synergy_09_tier,synergy_09_rank_required,synergy_09_upgrade,synergy_09_base_bonus,synergy_10_required_heroes,synergy_10_required_hero_ids,synergy_10_tier,synergy_10_rank_required,synergy_10_upgrade,synergy_10_base_bonus,synergy_11_required_heroes,synergy_11_required_hero_ids,synergy_11_tier,synergy_11_rank_required,synergy_11_upgrade,synergy_11_base_bonus,synergy_12_required_heroes,synergy_12_required_hero_ids,synergy_12_tier,synergy_12_rank_required,synergy_12_upgrade,synergy_12_base_bonus,synergy_13_required_heroes,synergy_13_required_hero_ids,synergy_13_tier,synergy_13_rank_required,synergy_13_upgrade,synergy_13_base_bonus,synergy_14_required_heroes,synergy_14_required_hero_ids,synergy_14_tier,synergy_14_rank_required,synergy_14_upgrade,synergy_14_base_bonus,synergy_15_required_heroes,synergy_15_required_hero_ids,synergy_15_tier,synergy_15_rank_required,synergy_15_upgrade,synergy_15_base_bonus,synergy_16_required_heroes,synergy_16_required_hero_ids,synergy_16_tier,synergy_16_rank_required,synergy_16_upgrade,synergy_16_base_bonus
0,Militia,0,1,Apprentice,12,1,0,damage_global,+10%,Viking|Scout,1|24,1,0,skillCd_personal,-10%,Peacekeeper,4,2,15,killGold_personal,+100%,Druid|Battlemage,13|18,2,15,damage_global,+60%,Gladiator,7,3,50,critChance_global,+16%,Warlock|Captain,21|34,3,50,attSpeed_personal,+100%,Witch,15,4,100,energyIncome_global,+1,Champion|Crusader,10|33,4,100,goldSuperChance_global,+6%,Praetorian,36,5,150,expSuperAmount_global,+10%,Necromancer|Arbalest,23|29,5,150,superCritChance_personal,+25%,Warden,35,6,250,killGold_personal,+500%,Titan|Archer,37|27,6,250,damage_personal,+600%,Ballista,32,7,500,expSuperAmount_global,+20%,Spelldancer|Arbalest,19|29,7,500,energyIncome_global,+8,Gladiator|Sorcerer|Captain,7|14|34,8,1000,energyIncome_global,+10,Ninja|Arbalest|Captain,2|29|34,8,1000,energyUltraAmount_global,+75%
1,Viking,0,1,Druid,13,1,0,attSpeed_personal,+10%,Militia|Scout,0|24,1,0,killExp_global,+3%,Spelldancer,19,2,15,critDmg_personal,+100%,Assassin|Arbalest,3|29,2,15,skillCd_global,-7%,Hunter,25,3,50,skillPower_global,+1%,Sorcerer|Dicemaster,14|39,3,50,damage_personal,+250%,Gladiator,7,4,100,superCritDmg_personal,+850%,Titan|Necromancer,37|23,4,100,killGold_global,+150%,Deadeye,40,5,150,superCritChance_global,+8%,Samurai|Elementalist,5|17,5,150,goldSuperAmount_personal,+1250%,Chieftain,9,6,250,damage_global,+250%,Ranger|Crusader,28|33,6,250,skillPower_global,+6%,Warlord,11,7,500,ultraBossDmg_global,+1400%,Forester|Veteran,26|41,7,500,skillPower_global,+8%,Wizard|Necromancer|Ballista,16|23|32,8,1000,bossExp_global,+40%,Archer|Ballista|Veteran,27|32|41,8,1000,skillPower_global,+15%
2,Ninja,0,2,Assassin,3,1,0,damage_personal,+25%,Sorcerer|Witch,14|15,1,0,critDmg_personal,+50%,Rogue,31,2,15,critChance_global,+8%,Berserker|Scout,8|24,2,15,skillDuration_personal,+6,Wizard,16,3,50,killGold_global,+80%,Archer|Rogue,27|31,3,50,attSpeed_global,+30%,Praetorian,36,4,100,damage_global,+125%,Peacekeeper|Spelldancer,4|19,4,100,expSuperChance_global,+4%,Ranger,28,5,150,skillPower_global,+3%,Chieftain|Veteran,9|41,5,150,energySuperChance_global,+4%,Apprentice,12,6,250,goldUltraChance_global,+2%,Gladiator|Warlock,7|21,6,250,killGold_personal,+600%,Arbalest,29,7,500,energySuperChance_global,+5%,Assassin|Rogue,3|31,7,500,goldSuperChance_global,+14%,Assassin|Elementalist|Warden,3|17|35,8,1000,bossGold_personal,+2250%,Militia|Arbalest|Captain,0|29|34,8,1000,energyIncome_global,+15
3,Assassin,0,2,Ninja,2,1,0,critChance_personal,+5%,Forester|Archer,26|27,1,0,skillCd_personal,-10%,Gladiator,7,2,15,attSpeed_global,+10%,Viking|Arbalest,1|29,2,15,critDmg_personal,+150%,Ranger,28,3,50,damage_personal,+200%,Apprentice|Spelldancer,12|19,3,50,killGold_personal,+250%,Peacekeeper,4,4,100,killGold_global,+125%,Berserker|Sorcerer,8|14,4,100,energyIncome_global,+2,Dicemaster,39,5,150,damage_global,+175%,Hunter|Captain,25|34,5,150,superCritDmg_global,+625%,Skymage,20,6,250,expUltraChance_global,+2%,Warlord|Wizard,11|16,6,250,ultraCritChance_personal,+7%,Deadeye,40,7,500,damage_global,+300%,Ninja|Rogue,2|31,7,500,ultraBossDmg_global,+1600%,Ninja|Elementalist|Warden,2|17|35,8,1000,ultraCritDmg_global,+3000%,Praetorian|Wizard|Spelldancer,36|16|19,8,1000,attSpeed_global,+75%
4,Peacekeeper,0,3,Ranger,28,1,0,killGold_global,+10%,Samurai|Wizard,5|16,1,0,critDmg_global,+20%,Militia,0,2,15,skillPower_personal,+5%,Warlord|Ballista,11|32,2,15,damage_global,+60%,Chieftain,9,3,50,skillCd_global,-8%,Berserker|Forester,8|26,3,50,expSuperChance_global,+1%,Assassin,3,4,100,damage_personal,+300%,Ninja|Spelldancer,2|19,4,100,expSuperAmount_global,+7%,Witch,15,5,150,killGold_personal,+400%,Apprentice|Rogue,12|31,5,150,skillPower_global,+4%,Scout,24,6,250,ultraCritDmg_global,+2000%,Sovereign|Warden,38|35,6,250,energyUltraChance_global,+3%,Captain,34,7,500,damage_global,+300%,Gladiator|Warlord,7|11,7,500,energySuperAmount_global,+20%,Warlord|Apprentice|Arbalest,11|12|29,8,1000,damage_personal,+1000%,Gladiator|Berserker|Warden,7|8|35,8,1000,alienTech_global,+3%
5,Samurai,0,3,Arbalest,29,1,0,damage_global,+10%,Peacekeeper|Wizard,4|16,1,0,critChance_personal,+10%,Witch,15,2,15,skillDuration_personal,+5,Skymage|Templar,20|22,2,15,killGold_global,+60%,Deadeye,40,3,50,critDmg_global,+80%,Necromancer|Hunter,23|25,3,50,attSpeed_personal,+100%,Ballista,32,4,100,expSuperChance_global,+2%,Scout|Warden,24|35,4,100,superCritDmg_personal,+950%,Berserker,8,5,150,goldSuperChance_global,+8%,Viking|Elementalist,1|17,5,150,damage_personal,+450%,Praetorian,36,6,250,energyIncome_global,+5,Paladin|Champion,6|10,6,250,killGold_global,+275%,Gladiator,7,7,500,energySuperChance_global,+5%,Druid|Captain,13|34,7,500,skillPower_global,+8%,Berserker|Forester|Ranger,8|26|28,8,1000,skillPower_global,+12%,Paladin|Champion|Battlemage,6|10|18,8,1000,ultraCritDmg_global,+3250%
6,Paladin,0,4,Gladiator,7,1,0,skillPower_personal,+2%,Spelldancer|Sniper,19|30,1,0,killGold_personal,+50%,Scout,24,2,15,attSpeed_global,+10%,Sorcerer|Crusader,14|33,2,15,killExp_global,+10%,Witch,15,3,50,skillDuration_personal,+8,Praetorian|Veteran,36|41,3,50,critDmg_personal,+250%,Templar,22,4,100,goldSuperChance_personal,+10%,Chieftain|Sniper,9|30,4,100,energySuperAmount_global,+4%,Forester,26,5,150,expSuperAmount_global,+10%,Warlord|Druid,11|13,5,150,killGold_personal,+450%,Battlemage,18,6,250,damage_personal,+500%,Samurai|Champion,5|10,6,250,skillPower_global,+6%,Sorcerer,14,7,500,goldSuperAmount_global,+850%,Berserker|Templar,8|22,7,500,energySuperChance_global,+6%,Scout|Hunter|Rogue,24|25|31,8,1000,goldUltraAmount_global,+3000%,Samurai|Champion|Battlemage,5|10|18,8,1000,shadowRunes_personal,+2%
7,Gladiator,0,4,Paladin,6,1,0,critDmg_personal,+25%,Battlemage|Rogue,18|31,1,0,damage_personal,+50%,Assassin,3,2,15,skillCd_global,-5%,Forester|Ranger,26|28,2,15,attSpeed_personal,+60%,Militia,0,3,50,killGold_personal,+200%,Champion|Elementalist,10|17,3,50,critChance_global,+20%,Viking,1,4,100,killGold_global,+125%,Apprentice|Archer,12|27,4,100,damage_global,+150%,Templar,22,5,150,energyIncome_global,+3,Skymage|Deadeye,20|40,5,150,goldSuperAmount_global,+625%,Ballista,32,6,250,expUltraAmount_global,+45%,Ninja|Warlock,2|21,6,250,ultraCritDmg_personal,+4250%,Samurai,5,7,500,energySuperAmount_global,+15%,Peacekeeper|Warlord,4|11,7,500,energyIncome_global,+8,Militia|Sorcerer|Captain,0|14|34,8,1000,energyUltraChance_global,+7%,Peacekeeper|Berserker|Warden,4|8|35,8,1000,attSpeed_global,+75%
8,Berserker,0,5,Skymage,20,1,0,damage_global,+10%,Chieftain|Ballista,9|32,1,0,critDmg_global,+20%,Veteran,41,2,15,expSuperChance_global,+1%,Ninja|Scout,2|24,2,15,skillPower_personal,+6%,Apprentice,12,3,50,attSpeed_global,+22%,Peacekeeper|Forester,4|26,3,50,killExp_global,+35%,Arbalest,29,4,100,superCritChance_global,+4%,Assassin|Sorcerer,3|14,4,100,skillPower_global,+2%,Samurai,5,5,150,damage_personal,+400%,Titan|Wizard,37|16,5,150,killGold_personal,+450%,Sovereign,38,6,250,goldUltraChance_personal,+5%,Druid|Hunter,13|25,6,250,energyUltraAmount_global,+35%,Battlemage,18,7,500,damage_global,+300%,Paladin|Templar,6|22,7,500,energyIncome_global,+8,Samurai|Forester|Ranger,5|26|28,8,1000,damage_global,+400%,Peacekeeper|Gladiator|Warden,4|7|35,8,1000,ultraCritChance_global,+8%
9,Chieftain,0,5,Warlock,21,1,0,skillCd_global,-2%,Berserker|Ballista,8|32,1,0,attSpeed_personal,+25%,Archer,27,2,15,critChance_global,+8%,Sovereign|Captain,38|34,2,15,critDmg_global,+60%,Peacekeeper,4,3,50,killGold_global,+80%,Arbalest|Sniper,29|30,3,50,damage_personal,+250%,Druid,13,4,100,energySuperAmount_global,+2%,Paladin|Sniper,6|30,4,100,goldSuperAmount_personal,+950%,Battlemage,18,5,150,killGold_global,+175%,Ninja|Veteran,2|41,5,150,expSuperChance_global,+7%,Viking,1,6,250,skillPower_global,+5%,Witch|Spelldancer,15|19,6,250,damage_global,+275%,Forester,26,7,500,goldSuperAmount_global,+850%,Elementalist|Sovereign,17|38,7,500,killGold_global,+350%,Druid|Warlock|Archer,13|21|27,8,1000,damage_global,+400%,Druid|Elementalist|Ranger,13|17|28,8,1000,skillCd_global,-20%
