hero_id,hero_name,hero_class,hero_rarity,synergy_num,tier,rank_required,requirements,active_heroes_needed_including_self,base_bonus_value,base_bonus_raw,base_bonus_text,effect_stat,effect_with_value,effect_scope,effect_key,synergy_upgrade_id,required_hero_ids,source
0,Militia,0,1,1,1,0,Apprentice,2,10,10.0,+10%,Damage,+10% Damage,global,damage_global,0,12,Hero MonoBehaviour synergy fields
0,Militia,0,1,2,1,0,Viking + Scout,3,10,10.0,-10%,Skill Cooldown,-10% Skill Cooldown,personal,skillCd_personal,12,1|24,Hero MonoBehaviour synergy fields
0,Militia,0,1,3,2,15,Peacekeeper,2,100,100.0,+100%,Kill Gold,+100% Kill Gold,personal,killGold_personal,15,4,Hero MonoBehaviour synergy fields
0,Militia,0,1,4,2,15,Druid + Battlemage,3,60,60.0,+60%,Damage,+60% Damage,global,damage_global,0,13|18,Hero MonoBehaviour synergy fields
0,Militia,0,1,5,3,50,Gladiator,2,16,16.0,+16%,Crit Chance,+16% Crit Chance,global,critChance_global,5,7,Hero MonoBehaviour synergy fields
0,Militia,0,1,6,3,50,Warlock + Captain,3,100,100.0,+100%,Attack Speed,+100% Attack Speed,personal,attSpeed_personal,3,21|34,Hero MonoBehaviour synergy fields
0,Militia,0,1,7,4,100,Witch,2,1,1.0,+1,Energy Income,+1 Energy Income,global,energyIncome_global,40,15,Hero MonoBehaviour synergy fields
0,Militia,0,1,8,4,100,Champion + Crusader,3,6,6.0,+6%,Gold Super Chance,+6% Gold Super Chance,global,goldSuperChance_global,24,10|33,Hero MonoBehaviour synergy fields
0,Militia,0,1,9,5,150,Praetorian,2,10,10.0,+10%,Exp Super Amount,+10% Exp Super Amount,global,expSuperAmount_global,33,36,Hero MonoBehaviour synergy fields
0,Militia,0,1,10,5,150,Necromancer + Arbalest,3,25,25.0,+25%,Super Crit Chance,+25% Super Crit Chance,personal,superCritChance_personal,17,23|29,Hero MonoBehaviour synergy fields
