gameobject_path_id,gameobject_name,behaviour_path_id
34281,Alien Big Blink (tech boss),282665
39582,Alien Big Blink (tech boss) (1),285544
39585,Alien Big Blink (tech boss) (10),285540
39580,Alien Big Blink (tech boss) (2),285543
39579,Alien Big Blink (tech boss) (3),285545
39586,Alien Big Blink (tech boss) (4),285537
39583,Alien Big Blink (tech boss) (5),285541
39584,Alien Big Blink (tech boss) (6),285539
39581,Alien Big Blink (tech boss) (7),285542
39578,Alien Big Blink (tech boss) (8),285546
39587,Alien Big Blink (tech boss) (9),285538
58402,Alien Galaxia (ultimus boss) (blue melee),283094
55114,Alien Galaxia (ultimus boss) (blue melee) (1),283894
55118,Alien Galaxia (ultimus boss) (blue melee) (2),283893
55119,Alien Galaxia (ultimus boss) (blue melee) (3),283892
55116,Alien Galaxia (ultimus boss) (blue melee) (4),283891
55117,Alien Galaxia (ultimus boss) (blue melee) (5),283890
55115,Alien Galaxia (ultimus boss) (blue melee) (6),283895
21259,Alien Galaxia (ultimus boss) (green range),295309
17676,Alien Galaxia (ultimus boss) (green range) (1),304699
17674,Alien Galaxia (ultimus boss) (green range) (2),304701
17675,Alien Galaxia (ultimus boss) (green range) (3),304700
17678,Alien Galaxia (ultimus boss) (green range) (4),304698
17673,Alien Galaxia (ultimus boss) (green range) (5),304702
17677,Alien Galaxia (ultimus boss) (green range) (6),304703
18057,Alien Galaxia (ultimus boss) (red mage),277965
46864,Alien Galaxia (ultimus boss) (red mage) (1),285531
46866,Alien Galaxia (ultimus boss) (red mage) (2),285534
46868,Alien Galaxia (ultimus boss) (red mage) (3),285536
46865,Alien Galaxia (ultimus boss) (red mage) (4),285533
46863,Alien Galaxia (ultimus boss) (red mage) (5),285532
46867,Alien Galaxia (ultimus boss) (red mage) (6),285535
45026,Alien Wreck (global boss),299351
58460,Ancient Shadow (rune boss),303099
77954,Ancient Shadow (rune boss) (1),316904
77952,Ancient Shadow (rune boss) (10),316906
77953,Ancient Shadow (rune boss) (2),316907
77948,Ancient Shadow (rune boss) (3),316909
77950,Ancient Shadow (rune boss) (4),316908
77949,Ancient Shadow (rune boss) (5),316910
77957,Ancient Shadow (rune boss) (6),316901
77956,Ancient Shadow (rune boss) (7),316902
77951,Ancient Shadow (rune boss) (8),316905
77955,Ancient Shadow (rune boss) (9),316903
39959,Angel,284825
48491,Angel (1),292951
48480,Angel (10),292960
48481,Angel (11),292959
48488,Angel (12),292948
48496,Angel (13),292955
48482,Angel (14),292962
48483,Angel (15),292966
48486,Angel (16),292963
48479,Angel (17),292961
48494,Angel (18),292953
48492,Angel (19),292950
48490,Angel (2),292952
48487,Angel (20),292949
48489,Angel (3),292947
48493,Angel (4),292954
48495,Angel (5),292956
48478,Angel (6),292957
48485,Angel (7),292964
48477,Angel (8),292958
48484,Angel (9),292965
28972,Angel Mage,318417
42467,Angel Mage (1),300316
42472,Angel Mage (10),300321
42469,Angel Mage (2),300318
42468,Angel Mage (3),300317
42473,Angel Mage (4),300315
42475,Angel Mage (5),300312
42470,Angel Mage (6),300320
42471,Angel Mage (7),300319
42474,Angel Mage (8),300314
42476,Angel Mage (9),300313
17222,Archangel,312702
62653,Archangel (1),289896
62648,Archangel (10),289890
62651,Archangel (2),289895
62646,Archangel (3),289891
62649,Archangel (4),289897
62652,Archangel (5),289894
62645,Archangel (6),289892
62650,Archangel (7),289898
62647,Archangel (8),289889
62654,Archangel (9),289893
15780,Bat,306722
76195,Bat (1),273485
76199,Bat (10),273489
76187,Bat (11),273477
76194,Bat (12),273484
76197,Bat (13),273487
76193,Bat (14),273483
76198,Bat (15),273488
76192,Bat (16),273482
76201,Bat (17),273491
76196,Bat (18),273486
76186,Bat (19),273476
76202,Bat (2),273493
76190,Bat (20),273479
76204,Bat (3),273494
76189,Bat (4),273480
76203,Bat (5),273492
76188,Bat (6),273478
76200,Bat (7),273490
76191,Bat (8),273481
76205,Bat (9),273495
15904,Bat Lord,314303
86030,Bat Lord (1),275051
86027,Bat Lord (10),275049
86023,Bat Lord (2),275046
86031,Bat Lord (3),275050
86024,Bat Lord (4),275043
86026,Bat Lord (5),275042
86029,Bat Lord (6),275047
86025,Bat Lord (7),275044
86022,Bat Lord (8),275045
86028,Bat Lord (9),275048
29313,Bee,281164
25900,Bee (1),282882
25895,Bee (10),282878
25911,Bee (11),282874
25898,Bee (12),282881
25894,Bee (13),282877
25913,Bee (14),282876
25897,Bee (15),282880
25905,Bee (16),282868
25907,Bee (17),282870
25906,Bee (18),282869
25910,Bee (19),282873
25912,Bee (2),282875
25901,Bee (20),282864
25909,Bee (3),282872
25908,Bee (4),282871
25903,Bee (5),282866
25899,Bee (6),282883
25902,Bee (7),282865
25896,Bee (8),282879
25904,Bee (9),282867
70723,Bird,309431
10303,Bird (1),289888
10304,Bird (10),289887
10301,Bird (2),289882
10298,Bird (3),289884
10297,Bird (4),289881
10296,Bird (5),289879
10302,Bird (6),289886
10300,Bird (7),289885
10299,Bird (8),289883
10295,Bird (9),289880
75029,Bumble,301714
16893,Bumble (1),291249
16897,Bumble (10),291243
16899,Bumble (2),291244
16898,Bumble (3),291245
16902,Bumble (4),291248
16901,Bumble (5),291247
16896,Bumble (6),291242
16894,Bumble (7),291250
16900,Bumble (8),291246
16895,Bumble (9),291241
42279,Cacti,294166
91541,Cacti (1),273465
91537,Cacti (10),273461
91535,Cacti (11),273459
91531,Cacti (12),273456
91540,Cacti (13),273462
91545,Cacti (14),273467
91533,Cacti (15),273455
91544,Cacti (16),273469
91534,Cacti (17),273458
91532,Cacti (18),273457
91547,Cacti (19),273470
91542,Cacti (2),273466
91549,Cacti (20),273473
91543,Cacti (3),273468
91536,Cacti (4),273460
91550,Cacti (5),273474
91548,Cacti (6),273472
91546,Cacti (7),273471
91538,Cacti (8),273463
91539,Cacti (9),273464
80257,Cactus,271455
75694,Cactus (1),273970
75688,Cactus (10),273964
75689,Cactus (2),273965
75687,Cactus (3),273963
75692,Cactus (4),273968
75686,Cactus (5),273966
75690,Cactus (6),273972
75695,Cactus (7),273971
75691,Cactus (8),273967
75693,Cactus (9),273969
68648,Cactus Boss,316918
40787,Cactus Boss (1),273534
40785,Cactus Boss (10),273532
40784,Cactus Boss (2),273533
40779,Cactus Boss (3),273529
40786,Cactus Boss (4),273536
40781,Cactus Boss (5),273527
40788,Cactus Boss (6),273535
40783,Cactus Boss (7),273531
40780,Cactus Boss (8),273530
40782,Cactus Boss (9),273528
61033,Chick,283317
51002,Chick (1),302209
51010,Chick (10),302219
51009,Chick (11),302217
51008,Chick (12),302215
