gameobject_path_id,gameobject_name,normalized_name,enemy_behaviour_path_id,prefab_enemy_path_id,enemy_class,evolution,enemy_height,is_golden_variant,is_supreme_variant,ultimus_class
34281,Alien Big Blink (tech boss),Alien Big Blink (tech boss),282665,10688,6,3,4.0,0,0,0
39582,Alien Big Blink (tech boss) (1),Alien Big Blink (tech boss),285544,10688,6,3,4.0,0,0,0
39585,Alien Big Blink (tech boss) (10),Alien Big Blink (tech boss),285540,10688,6,3,4.0,0,0,0
39580,Alien Big Blink (tech boss) (2),Alien Big Blink (tech boss),285543,10688,6,3,4.0,0,0,0
39579,Alien Big Blink (tech boss) (3),Alien Big Blink (tech boss),285545,10688,6,3,4.0,0,0,0
39586,Alien Big Blink (tech boss) (4),Alien Big Blink (tech boss),285537,10688,6,3,4.0,0,0,0
39583,Alien Big Blink (tech boss) (5),Alien Big Blink (tech boss),285541,10688,6,3,4.0,0,0,0
39584,Alien Big Blink (tech boss) (6),Alien Big Blink (tech boss),285539,10688,6,3,4.0,0,0,0
39581,Alien Big Blink (tech boss) (7),Alien Big Blink (tech boss),285542,10688,6,3,4.0,0,0,0
39578,Alien Big Blink (tech boss) (8),Alien Big Blink (tech boss),285546,10688,6,3,4.0,0,0,0
39587,Alien Big Blink (tech boss) (9),Alien Big Blink (tech boss),285538,10688,6,3,4.0,0,0,0
58402,Alien Galaxia (ultimus boss) (blue melee),Alien Galaxia (ultimus boss) (blue melee),283094,10671,7,3,4.0,0,0,0
55114,Alien Galaxia (ultimus boss) (blue melee) (1),Alien Galaxia (ultimus boss) (blue melee),283894,10671,7,3,4.0,0,0,0
55118,Alien Galaxia (ultimus boss) (blue melee) (2),Alien Galaxia (ultimus boss) (blue melee),283893,10671,7,3,4.0,0,0,0
55119,Alien Galaxia (ultimus boss) (blue melee) (3),Alien Galaxia (ultimus boss) (blue melee),283892,10671,7,3,4.0,0,0,0
55116,Alien Galaxia (ultimus boss) (blue melee) (4),Alien Galaxia (ultimus boss) (blue melee),283891,10671,7,3,4.0,0,0,0
55117,Alien Galaxia (ultimus boss) (blue melee) (5),Alien Galaxia (ultimus boss) (blue melee),283890,10671,7,3,4.0,0,0,0
55115,Alien Galaxia (ultimus boss) (blue melee) (6),Alien Galaxia (ultimus boss) (blue melee),283895,10671,7,3,4.0,0,0,0
21259,Alien Galaxia (ultimus boss) (green range),Alien Galaxia (ultimus boss) (green range),295309,10879,9,3,4.0,0,0,0
17676,Alien Galaxia (ultimus boss) (green range) (1),Alien Galaxia (ultimus boss) (green range),304699,10879,9,3,4.0,0,0,0
17674,Alien Galaxia (ultimus boss) (green range) (2),Alien Galaxia (ultimus boss) (green range),304701,10879,9,3,4.0,0,0,0
17675,Alien Galaxia (ultimus boss) (green range) (3),Alien Galaxia (ultimus boss) (green range),304700,10879,9,3,4.0,0,0,0
17678,Alien Galaxia (ultimus boss) (green range) (4),Alien Galaxia (ultimus boss) (green range),304698,10879,9,3,4.0,0,0,0
17673,Alien Galaxia (ultimus boss) (green range) (5),Alien Galaxia (ultimus boss) (green range),304702,10879,9,3,4.0,0,0,0
17677,Alien Galaxia (ultimus boss) (green range) (6),Alien Galaxia (ultimus boss) (green range),304703,10879,9,3,4.0,0,0,0
18057,Alien Galaxia (ultimus boss) (red mage),Alien Galaxia (ultimus boss) (red mage),277965,10686,8,3,4.0,0,0,0
46864,Alien Galaxia (ultimus boss) (red mage) (1),Alien Galaxia (ultimus boss) (red mage),285531,10686,8,3,4.0,0,0,0
46866,Alien Galaxia (ultimus boss) (red mage) (2),Alien Galaxia (ultimus boss) (red mage),285534,10686,8,3,4.0,0,0,0
