map_num,map_id,map_name,perk_id,perk_name,perk_key,is_default_perk,is_astral_group,upgrade_object_path_id,upgrade_field_name,upgrade_title,upgrade_short_desc,upgrade_long_desc,base_cost,max_level,base_amt,stat_amt,wave_req,purpose_categories,source_behaviour_path_id,gameobject_path_id
1,map1,Island Hideout,0,map1_range,range,0,0,260663,range,Range,+VALUE% Range,"Increases the distance that a hero can ""see"" to attack an enemy or synergize with other heroes.",1,10,20,2,0,alcance,302960,45161
1,map1,Island Hideout,1,map1_synergy12,synergy12,0,0,261971,synergyBonus_1_2,Tier 1+2 Synergy,+VALUE% Tier 1+2 Synergy,Increases the bonus stats earned specifically from Tier 1 and 2 synergies.,1,10,25,5,0,sinergia,288377,70183
1,map1,Island Hideout,2,map1_synergy34,synergy34,0,0,262612,synergyBonus_3_4,Tier 3+4 Synergy,+VALUE% Tier 3+4 Synergy,Increases the bonus stats earned specifically from Tier 3 and 4 synergies.,2,10,20,5,0,sinergia,288395,70164
1,map1,Island Hideout,3,map1_instantSkillChance,instantSkillChance,0,0,261889,skillCdInstantChance,Instant Skill Chance,+VALUE% Instant Skill Chance,Increases the chance that a hero's skill is instantly cooled down after each use.,5,3,3,1,0,skill_spell,288371,70132
1,map1,Island Hideout,4,map1_skillPowerPct,skillPowerPct,0,0,260496,skillPowerPct,Skill Power (%),+VALUE% Skill Power,Increases the effects of a hero's skill.,3,10,3,1,0,skill_spell,288386,70173
1,map1,Island Hideout,5,map1_doubleShotChance,doubleShotChance,0,0,267651,doubleShotChance,Double Shot Chance,+VALUE% Double Shot Chance,Increases the chance that a hero instantly fires an exta projectile on each attack.,6,5,2,1,0,dano|skill_spell,288362,70141
1,map1,Island Hideout,6,map1_masteryExpRange,masteryExpRange,0,0,267541,masteryExpRange,2x Mastery Exp Chance (Range),+VALUE% 2x Mastery Exp Chance (Range),Increases the chance that Range heroes gain 2x Skill Mastery exp.,25,5,10,2,45000,exp|skill_spell|alcance,288399,70163
1,map1,Island Hideout,7,map1_masterySkillPower,masterySkillPower,0,0,259914,masterySkillPower,Mastery Skill Power,+VALUE% Mastery Skill Power,Increases the effects of a hero's skill mastery.,10,10,3,1,35000,exp|skill_spell,288373,70133
2,map2,Snow Fort,8,map2_enemyMoveSpeed,enemyMoveSpeed,1,0,259134,enemyMoveSpeed,Enemy Move Speed,-VALUE% Enemy Move Speed,Reduces the movement speed of all enemies.,1,10,20,1,0,controle_enemy,288394,70167
2,map2,Snow Fort,9,map2_synergy56,synergy56,0,0,258592,synergyBonus_5_6,Tier 5+6 Synergy,+VALUE% Tier 5+6 Synergy,Increases the bonus stats earned specifically from Tier 5 and 6 synergies.,2,10,15,3,0,sinergia,288397,70159
2,map2,Snow Fort,10,map2_synergy78,synergy78,0,0,263755,synergyBonus_7_8,Tier 7 Synergy,+VALUE% Tier 7 Synergy,Increases the bonus stats earned specifically from Tier 7 synergies.,2,10,10,2,0,sinergia,288352,70151
2,map2,Snow Fort,11,map2_instantSpellChance,instantSpellChance,0,0,258718,spellCdInstantChance,Instant Spell Chance,+VALUE% Instant Spell Chance,Increases the chance that a spell is instantly cooled down after each use.,5,3,1,1,0,skill_spell,288357,70148
2,map2,Snow Fort,12,map2_adBonus,adBonus,0,0,268608,adBonusReward,Ad Bonus Reward,+VALUE% Ad Bonus Reward,Increases the temporary bonus stat/resource effects granted from video ads. This does NOT effect the gem reward.,6,10,5,1,0,ritmo_mapa,288372,70131
2,map2,Snow Fort,13,map2_wavePerkEffect,wavePerkEffect,0,0,265242,wavePerkEffects,Wave Perk Effect,+VALUE% Wave Perk Effects,Increases the effect of all Wave Perks.,5,5,3,1,0,ritmo_mapa,288376,70182
