gameobject_path_id,name,component_path_ids,mono_script_names,mono_behaviour_path_ids
7464,** upgrades panel **,205959|265552|162657|265551|198055|265553|265554,Image|UpgradesPanel|GraphicRaycaster|CameraOffOnFullscreenMenu,265551|265552|265553|265554
8645,***** ULTRA BOSSES *****,93418,,
3600,+ Back,8744,Image,260592
3868,+ Back,6446,RotateObject|Image,260936|260937
17555,+ Back,138615,,
20417,+ Back,142271,,
20620,+ Back,136124,,
20891,+ Back,139422,,
21019,+ Back,135803,,
22560,+ Back,139936,,
23146,+ Back,135562,,
24305,+ Back,102275,,
25057,+ Back,102909,,
25470,+ Back,133953,,
25878,+ Back,130771,,
25879,+ Back,130770,,
25880,+ Back,130773,,
25881,+ Back,130772,,
26779,+ Back,133537,,
26924,+ Back,103582,,
27537,+ Back,130838,,
29714,+ Back,105823,,
32539,+ Back,95864,,
32540,+ Back,95867,,
32541,+ Back,95866,,
32542,+ Back,95865,,
32543,+ Back,95869,,
32544,+ Back,95868,,
32545,+ Back,95861,,
32546,+ Back,95862,,
32547,+ Back,95863,,
32548,+ Back,95858,,
32549,+ Back,95859,,
32550,+ Back,95860,,
32551,+ Back,95855,,
32552,+ Back,95856,,
32553,+ Back,95857,,
39245,+ Back,125859,,
40755,+ Back,112228,,
42107,+ Back,124187,,
42845,+ Back,122516,,
44734,+ Back,127731,,
47987,+ Back,95257,,
48597,+ Back,137711,,
54178,+ Back,109816,,
57959,+ Back,113918,,
61669,+ Back,109994,,
62424,+ Back,114319,,
62460,+ Back,125336,,
65249,+ Back,126659,,
69413,+ Back,107039,,
70341,+ Back,109296,,
71700,+ Back,107217,,
72332,+ Back,106143,,
74191,+ Back,105147,,
76379,+ Back,133341,,
76404,+ Back,118151,,
80433,+ Back,117070,,
88232,+ Back,96860,,
88317,+ Back,102515,,
88973,+ Back,106147,,
28008,+ Chest,104462,,
38012,+ Chest,110443,,
50739,+ Chest,126930,,
51942,+ Chest,118353,,
63268,+ Chest,116214,,
80256,+ Chest,95337,,
3375,+ Head,6814,UpgradeObject,260305
4944,+ Head,6720,Button|Outline|Image,262313|262314|262315
10998,+ Head,118463,,
15658,+ Head,126420,,
19558,+ Head,141814,,
20375,+ Head,101469,,
20376,+ Head,101470,,
20377,+ Head,101471,,
20378,+ Head,101472,,
21825,+ Head,119350,,
21986,+ Head,130871,,
24293,+ Head,102263,,
25058,+ Head,102910,,
25480,+ Head,125125,,
26908,+ Head,103566,,
28010,+ Head,104464,,
29715,+ Head,105824,,
32177,+ Head,130719,,
36134,+ Head,128738,,
38014,+ Head,110445,,
38327,+ Head,96248,,
39044,+ Head,116581,,
40752,+ Head,112225,,
40936,+ Head,119074,,
42717,+ Head,114253,,
43303,+ Head,118019,,
43404,+ Head,118264,,
43446,+ Head,116940,,
44049,+ Head,120651,,
47888,+ Head,121774,,
51427,+ Head,113405,,
51945,+ Head,118356,,
52775,+ Head,123442,,
52827,+ Head,136199,,
53053,+ Head,112948,,
53492,+ Head,102574,,
56107,+ Head,129227,,
58710,+ Head,100005,,
58711,+ Head,100004,,
58712,+ Head,100003,,
58713,+ Head,100002,,
58714,+ Head,100001,,
58715,+ Head,100000,,
58716,+ Head,99999,,
58717,+ Head,99998,,
58718,+ Head,99997,,
58719,+ Head,99996,,
58720,+ Head,99995,,
58721,+ Head,99994,,
58722,+ Head,99993,,
58723,+ Head,99992,,
58724,+ Head,99991,,
61242,+ Head,135852,,
61429,+ Head,125560,,
62467,+ Head,125343,,
65251,+ Head,126661,,
67791,+ Head,118117,,
68209,+ Head,109968,,
70262,+ Head,105903,,
73949,+ Head,107647,,
76361,+ Head,133323,,
77404,+ Head,104008,,
77571,+ Head,104311,,
90839,+ Head,109447,,
91986,+ Head,98390,,
29998,+ L Forearm,107568,,
32285,+ L Forearm,105231,,
84582,+ L Forearm,124329,,
4578,+ L Hand,7111,ParticlesPlayThenHide,278088
5888,+ L Hand,6558,Image,263529
10399,+ L Hand,121246,,
13685,+ L Hand,134893,,
15640,+ L Hand,120022,,
22906,+ L Hand,123610,,
23505,+ L Hand,127815,,
24304,+ L Hand,102274,,
25059,+ L Hand,102911,,
26890,+ L Hand,103548,,
28009,+ L Hand,104463,,
29716,+ L Hand,105825,,
31240,+ L Hand,135368,,
35534,+ L Hand,118890,,
36740,+ L Hand,126897,,
36907,+ L Hand,132097,,
36992,+ L Hand,132400,,
38015,+ L Hand,110446,,
38022,+ L Hand,133469,,
39946,+ L Hand,132048,,
40292,+ L Hand,130546,,
40720,+ L Hand,112193,,
41167,+ L Hand,111075,,
42879,+ L Hand,142508,,
42916,+ L Hand,137391,,
44419,+ L Hand,115122,,
49872,+ L Hand,105936,,
49873,+ L Hand,105935,,
49874,+ L Hand,105937,,
49875,+ L Hand,105931,,
49876,+ L Hand,105933,,
49877,+ L Hand,105932,,
49878,+ L Hand,105929,,
49879,+ L Hand,105930,,
49880,+ L Hand,105934,,
49881,+ L Hand,105942,,
49882,+ L Hand,105941,,
49883,+ L Hand,105943,,
49884,+ L Hand,105939,,
49885,+ L Hand,105938,,
49886,+ L Hand,105940,,
51451,+ L Hand,98727,,
51944,+ L Hand,118355,,
52023,+ L Hand,106037,,
52307,+ L Hand,98565,,
52477,+ L Hand,133910,,
54216,+ L Hand,120380,,
60328,+ L Hand,120879,,
62468,+ L Hand,125344,,
65250,+ L Hand,126660,,
66701,+ L Hand,101996,,
68214,+ L Hand,103147,,
68729,+ L Hand,104282,,
75396,+ L Hand,109635,,
76362,+ L Hand,133324,,
76493,+ L Hand,132049,,
80434,+ L Hand,107219,,
81542,+ L Hand,97566,,
81543,+ L Hand,97567,,
81544,+ L Hand,97564,,
81545,+ L Hand,97565,,
84870,+ L Hand,117346,,
87531,+ L Hand,128313,,
90656,+ L Hand,135030,,
92284,+ L Hand,106831,,
3401,+ L Shoulder,8620,TextMeshProUGUI,242832
5772,+ L Shoulder,7649,Outline|Image,263373|263374
10880,+ L Shoulder,127522,,
20998,+ L Shoulder,128985,,
20999,+ L Shoulder,128984,,
21000,+ L Shoulder,128986,,
