type,path_id,name
MonoScript,35,HeroSelectedTargetingPanel
MonoScript,59,UpgradeObject
MonoScript,81,UpgradesGemsCell
MonoScript,100,PlayFabExperimentationModels
MonoScript,103,HeroSelectedLevelMultCell
MonoScript,105,UpgradesWeeklyPanel
MonoScript,116,UpgradesRunesPanel
MonoScript,118,MultiplayFleetBuildConfigurationSwitchRequest
MonoScript,147,HeroSelectedLevelMilestoneCell
MonoScript,209,RawImage
MonoScript,230,UpgradesUltimusPanel
MonoScript,251,HeroMenu
MonoScript,262,HeroSelectedRankPanel
MonoScript,292,ExponentialBackOffRetryPolicy
MonoScript,293,MapPlacementUpgradeCell
MonoScript,306,HeroMenuAttributeCell
MonoScript,321,AutomationUpgradeActiveCell
MonoScript,401,HeroSelectedSynergyCell
MonoScript,412,HeroBuildMenu
MonoScript,414,AutomationUpgradeCell
MonoScript,419,MapPerkUpgradeCell
MonoScript,446,HeroSelectedPanel
MonoScript,485,HeroMenuSynergyCell
MonoScript,498,WavePerksPanel
MonoScript,548,UpgradesWeeklyCell
MonoScript,570,NewRunesCell
MonoScript,644,PromoHeroPanel
MonoScript,646,NewRunesPanel
MonoScript,735,HeroSelectedStatsPanel
MonoScript,740,HeroSelectedSynergyCellMinimized
MonoScript,792,HeroMenuSettingsPanel
MonoScript,819,PvpWeeklyBossPanel
MonoScript,824,HeroBuildCell
MonoScript,840,UpgradesUltimusCell
MonoScript,851,HeroMenuInfoPanel
MonoScript,891,UpgradesSpellsPanel
MonoScript,896,PresetsSpellPanel
MonoScript,990,BossPanel
MonoScript,991,UpgradeManager
MonoScript,1012,WavePerksCell
MonoScript,1045,UpgradesTournamentCell
MonoScript,1082,UpgradesPowerUpsPanel
MonoScript,1200,WavePerkPriorityPanel
MonoScript,1235,UpgradesPanel
MonoScript,1239,WavePerkPriorityCell
MonoScript,1284,UpgradesMasteryCell
MonoScript,1356,LeaderboardVersionRange
MonoScript,1400,FogImageEffect
MonoScript,1425,UsecaseSwitcher
MonoScript,1432,HeroManager
MonoScript,1449,PresetsHeroPanel
