index,field_name,upgrade_object_path_id,file_id,gameobject_name,title,blank_desc,short_desc,long_desc,icon_path_id,color_r,color_g,color_b,color_a
0,dmg,259153,0,damage,Damage,+<value>%,<color=yellow>+<value>%</color> Damage,Increases the damage of all heroes.,2735,1.0,0.0,0.0,1.0
1,attSpeed,265186,0,att speed,Attack Speed,+<value>%,<color=yellow>+<value>%</color> Attack Speed,Increases the speed at which a hero can attack.,2397,0.0,1.0,0.0,1.0
2,range,260663,0,range,Range,+<value>%,<color=yellow>+<value>%</color> Range,"Increases the distance that a hero can ""see"" to attack an enemy or synergize with other heroes.",2355,1.0,1.0,0.0,1.0
3,critChance,264544,0,crit chance,Crit Chance,+<value>%,<color=yellow>+<value>%</color> Crit Chance,Increases the chance that a hero's attack deals critical damage.,2426,1.0,0.501960813999176,0.0,1.0
4,critDmg,260305,0,crit dmg,Crit Damage,+<value>%,<color=yellow>+<value>%</color> Crit Damage,Increases the critical damage dealt when a hero's critical chance is triggered (base 2x normal damage).,2432,1.0,0.501960813999176,0.0,1.0
5,superCritChance,265167,0,super crit chance,Super Crit Chance,+<value>%,<color=yellow>+<value>%</color> Super Crit Chance,Increases the chance that a hero's attack deals super critical damage (base 3x crit damage).,2412,0.8823529481887817,0.3921568691730499,0.0,1.0
6,superCritDmg,268219,0,super crit dmg,Super Crit Damage,+<value>%,<color=yellow>+<value>%</color> Super Crit Damage,Increases the damage dealt when a hero's super critical chance is triggered (base 3x crit damage).,2866,0.8823529481887817,0.3921568691730499,0.0,1.0
7,ultraCritChance,262908,0,ultra crit chance,Ultra Crit Chance,+<value>%,<color=yellow>+<value>%</color> Ultra Crit Chance,Increases the chance that a hero's attack deals ultra critical damage (base 3x super crit damage).,2427,0.7843137383460999,0.0,0.0,1.0
8,ultraCritDmg,262119,0,ultra crit dmg,Ultra Crit Damage,+<value>%,<color=yellow>+<value>%</color> Ultra Crit Damage,Increases the damage dealt when a hero's ultra critical chance is triggered (base 3x super crit damage).,2383,0.7843137383460999,0.0,0.0,1.0
9,doubleShotChance,267651,0,double shot chance,Double Shot Chance,+<value>%,<color=yellow>+<value>%</color> Double Shot Chance,Increases the chance that a hero instantly fires an exta projectile on each attack.,2426,0.0,0.7843137383460999,0.0,1.0
10,splashDamage,258699,0,splash dmg,Splash Damage,+<value>%,<color=yellow>+<value>%</color> Splash Damage,Increases the amount of splash damage each attack deals to nearby enemies.,2367,1.0,0.0,0.0,1.0
11,synergyBonus,268995,0,synergy effect,Synergy Bonus,+<value>%,<color=yellow>+<value>%</color> Synergy Bonus,Increases the bonus stats earned from active hero synergies.,2910,0.0,1.0,0.0,1.0
12,synergyBonus_1_2,261971,0,synergy effect (tier 1-2),Tier 1+2 Synergy,+<value>%,<color=yellow>+<value>%</color> Tier 1+2 Synergy,Increases the bonus stats earned specifically from Tier 1 and 2 synergies.,2910,0.0,1.0,0.0,1.0
13,synergyBonus_3_4,262612,0,synergy effect (tier 3-4),Tier 3+4 Synergy,+<value>%,<color=yellow>+<value>%</color> Tier 3+4 Synergy,Increases the bonus stats earned specifically from Tier 3 and 4 synergies.,2910,0.0,1.0,0.0,1.0
14,synergyBonus_5_6,258592,0,synergy effect (tier 5-6),Tier 5+6 Synergy,+<value>%,<color=yellow>+<value>%</color> Tier 5+6 Synergy,Increases the bonus stats earned specifically from Tier 5 and 6 synergies.,2910,0.0,1.0,0.0,1.0
15,synergyBonus_7_8,263755,0,synergy effect (tier 7),Tier 7 Synergy,+<value>%,<color=yellow>+<value>%</color> Tier 7 Synergy,Increases the bonus stats earned specifically from Tier 7 synergies.,2910,0.0,1.0,0.0,1.0
16,milestoneBonus,262387,0,milestone effect,Milestone Bonus,+<value>%,<color=yellow>+<value>%</color> Milestone Bonus,Increases the bonus stats earned from hero level milestones.,2358,1.0,1.0,0.0,1.0
17,heroLevelCost,258795,0,hero level cost,Hero Level Cost,-<value>%,<color=yellow>-<value>%</color> Hero Level Cost,"Reduces the gold cost of leveling up heroes <i>per level</i> (this means it has a multiplicative effect with each level, resulting in potentially huge reductions).",2358,1.0,1.0,0.0,1.0
18,heroLevelFreeChance,262243,0,hero level free chance,Free Hero Level Chance,+<value>%,<color=yellow>+<value>%</color> Free Hero Level Chance,"After each wave, heroes have a chance to gain a free level (and damage increase) without increasing the cost of the next level. The chance is rolled independently on each hero.",2358,1.0,1.0,0.0,1.0
19,skillPower,257005,0,skill power,Skill Power,+<value>,<color=yellow>+<value></color> Skill Power,Increases the effects of a hero's skill.,2934,0.0,1.0,1.0,1.0
20,skillPowerPct,260496,0,skill power (%),Skill Power (%),+<value>%,<color=yellow>+<value>%</color> Skill Power,Increases the effects of a hero's skill.,2934,0.0,1.0,1.0,1.0
21,skillDuration,265066,0,skill duration,Skill Duration,+<value>,<color=yellow>+<value></color> Skill Duration,Increases the time that a hero's skill remains active.,2388,0.0,1.0,1.0,1.0
22,skillCd,267061,0,skill cd,Skill Cooldown,-<value>%,<color=yellow>-<value>%</color> Skill Cooldown,Reduces the time a hero must wait before using a skill again.,2911,0.0,1.0,1.0,1.0
23,skillCdInstantChance,261889,0,skill cd instant chance,Instant Skill Chance,+<value>%,<color=yellow>+<value>%</color> Instant Skill Chance,Increases the chance that a hero's skill is instantly cooled down after each use.,2911,0.0,1.0,1.0,1.0
24,masterySkillPower,259914,0,mastery skill power,Mastery Skill Power,+<value>%,<color=yellow>+<value>%</color> Mastery Skill Power,Increases the effects of a hero's skill mastery.,2934,0.0,1.0,1.0,1.0
25,masteryExpMelee,257723,0,mastery 2x exp chance (melee),2x Mastery Exp Chance (Melee),+<value>%,<color=yellow>+<value>%</color> 2x Mastery Exp Chance (Melee),Increases the chance that Melee heroes gain 2x Skill Mastery exp.,2937,0.0,1.0,1.0,1.0
