upgrade_object_path_id,byte_size,gameobject_path_id,gameobject_name,title,blank_desc,short_desc,long_desc,icon_file_id,icon_path_id,color_r,color_g,color_b,color_a
262235,236,4889,2x rune drop chance,2x Rune Chance,+<value>%,<color=yellow>+<value>%</color> 2x Rune Chance,Increases the chance that the Ancient Shadow ultra boss drops 2x runes when killed.,2,2375,0.4901960790157318,0.3921568691730499,0.7843137383460999,1.0
261964,256,4674,2x supreme runes chance,2x Supreme Runes Chance,+<value>%,<color=yellow>+<value>%</color> 2x Supreme Runes Chance,Increases the chance that the Supreme Shadow boss drops 2x Supreme Runes when killed.,2,2439,0.7843137383460999,0.0,0.0,1.0
266176,240,7941,2x tech drop chance,2x Tech Chance,+<value>%,<color=yellow>+<value>%</color> 2x Tech Chance,Increases the chance that the Exotic Alien ultra boss drops 2x tech scrolls when killed.,2,2872,0.4901960790157318,0.3921568691730499,0.7843137383460999,1.0
260626,232,3632,2x ultimus tokens chance,2x Tokens Chance,+<value>%,<color=yellow>+<value>%</color> 2x Tokens Chance,Increases the chance that the Ultimus ultra boss drops 2x tokens when killed.,2,2376,0.19607843458652496,0.19607843458652496,1.0,1.0
256126,260,37,Font Material,Ultra Boss Damage,+<value>%,<color=yellow>+<value>%</color> Ultra Boss Damage,"Increases the damage dealt to Ultra Bosses (Goblin Hoarder, Training Dummy, Ancient Shadow, etc).",2,2360,0.4901960790157318,0.0,0.0,1.0
256141,620,48,Fruit Jelly (B&W),Mimic Prestige Power,+<value>%,<color=yellow>+<value>%</color> Mimic Prestige Power,"Increases the amount of Prestige Power that the <color=orange>Golden Mimic Chest</color> rewards when killed (it initially does not reward any before this upgrade is purchased). The rewarded Prestige Power is calculated based on the current wave the enemy is killed on.<br><br>For example, if you have +50% Mimic Prestige Power upgrades, and kill the Mimic at wave 25k, you would receive 50% of the Prestige Power you would gain from Prestiging at wave 25k.",2,2468,0.686274528503418,0.0,1.0,1.0
265402,232,7350,ad bonus ultra crit chance,Ad + Ultra Crit Chance,+<value>%,<color=yellow>+<value>%</color> Ad + Ultra Crit Chance,Adds an ultra crit chance bonus to the damage bonus video ad.,2,2427,0.7843137383460999,0.0,0.0,1.0
261741,232,4502,ad bonus ultra crit damage,Ad + Ultra Crit Damage,+<value>%,<color=yellow>+<value>%</color> Ad + Ultra Crit Damage,Adds an ultra crit damage bonus to the damage bonus video ad.,2,2383,0.7843137383460999,0.0,0.0,1.0
262419,240,5020,ad bonus ultra energy amount,Ad + Ultra Income Amount,+<value>%,<color=yellow>+<value>%</color> Ad + Ultra Energy Amount,Adds an ultra energy income amount bonus to the energy bonus video ad.,2,2896,0.03484334424138069,0.8207547068595886,0.03484334424138069,1.0
260528,240,3542,ad bonus ultra energy chance,Ad + Ultra Income Chance,+<value>%,<color=yellow>+<value>%</color> Ad + Ultra Energy Chance,Adds an ultra energy income chance bonus to the energy bonus video ad.,2,2896,0.03484334424138069,0.8207547068595886,0.03484334424138069,1.0
