index,field_name,upgrade_object_path_id,file_id
0,dmg,259153,0
1,attSpeed,265186,0
2,range,260663,0
3,critChance,264544,0
4,critDmg,260305,0
5,superCritChance,265167,0
6,superCritDmg,268219,0
7,ultraCritChance,262908,0
8,ultraCritDmg,262119,0
9,doubleShotChance,267651,0
10,splashDamage,258699,0
11,synergyBonus,268995,0
12,synergyBonus_1_2,261971,0
13,synergyBonus_3_4,262612,0
14,synergyBonus_5_6,258592,0
15,synergyBonus_7_8,263755,0
16,milestoneBonus,262387,0
17,heroLevelCost,258795,0
18,heroLevelFreeChance,262243,0
19,skillPower,257005,0
20,skillPowerPct,260496,0
21,skillDuration,265066,0
22,skillCd,267061,0
23,skillCdInstantChance,261889,0
24,masterySkillPower,259914,0
25,masteryExpMelee,257723,0
26,masteryExpMage,257153,0
27,masteryExpRange,267541,0
28,masteryExp,257990,0
29,spellMaxLevel,257757,0
30,spellDuration,264644,0
31,spellCd,259067,0
32,spellCdInstantChance,258718,0
33,spellCdInstantChanceBlizzard,259252,0
34,spellCdInstantChanceAgility,256739,0
35,spellCdInstantChanceAccelerate,259044,0
36,spellCdInstantChanceRagsToRiches,256958,0
37,spellCdInstantChanceTrainee,257892,0
38,spellCdInstantChancePowerPlant,262946,0
39,spellCdInstantChanceTimeWarp,266323,0
40,enemyMoveSpeed,259134,0
41,enemyHp,259454,0
42,enemyHpScalingReduction,261240,0
43,enemyHpSkipChance,267956,0
44,enemySpeed,265153,0
45,enemySkillImmuneLimit,256395,0
46,enemySpawnSpeed,259018,0
47,shadowAlienHpReduction,262325,0
48,shadowAlienHpScaling,266373,0
49,shadowAlienHpSkip,268058,0
50,extraBossChance,260621,0
51,bossDmg,266209,0
52,ultraBossDmg,256126,0
53,bossGold,260513,0
54,bossExp,261243,0
55,mimicChestSpawnChance,256336,0
56,mimicChestGold,265941,0
57,mimicChestExp,265306,0
58,mimicChestEnergy,261870,0
59,mimicChestPrestigePower,256141,0
60,mimicMaxGems,261754,0
61,killExpFlat,266012,0
62,killExpPct,267932,0
63,progressiveRankExp,263426,0
64,rankAttributePoints,264215,0
65,bonusKillExpChance,261037,0
66,bonusKillExpAmount,259602,0
67,ultraExpChance,264966,0
68,ultraExpAmount,264678,0
69,killGold,261126,0
70,bonusKillGoldChance,260085,0
71,bonusKillGoldAmount,259075,0
72,ultraGoldChance,258350,0
73,ultraGoldAmount,258397,0
74,startingGold,256508,0
75,energyIncome,258907,0
76,energyIncomePct,261224,0
77,bonusEnergyIncomeChance,264602,0
78,bonusEnergyIncomeAmount,259601,0
79,ultraIncomeChance,268115,0
80,ultraIncomeAmount,258763,0
81,prestigePoints,266979,0
82,prestigeIntroSkip,261223,0
83,hoarderSpawns,265297,0
84,hoarderGold,262200,0
85,hoarderCd,259621,0
86,producerSpawns,264822,0
87,producerEnergy,257373,0
88,producerCd,267870,0
89,trainerExp,266476,0
90,trainerCd,266638,0
91,trainerSpawns,263439,0
92,runesReward,259923,0
93,runesRarity,264045,0
94,runes2xChance,262235,0
95,techReward,263084,0
96,tech2xChance,266176,0
97,ultimusReward,266677,0
98,ultimusCd,257272,0
99,ultimusMaxSpawns,266349,0
100,ultimus2xChance,260626,0
101,battlepassExp,263334,0
102,battlepassExpPct,263068,0
103,dailyGiftRunes,262196,0
104,gameSpeed,262970,0
105,offlineResourceType,263803,0
106,offlineRewards,267935,0
107,adBonusReward,268608,0
108,adBonusDuration,262765,0
109,adBonusGems,262884,0
110,adBonusUltraCritChance,265402,0
111,adBonusUltraCritAmount,261741,0
112,adBonusUltraGoldChance,262986,0
113,adBonusUltraGoldAmount,259892,0
114,adBonusUltraExpChance,265084,0
115,adBonusUltraExpAmount,267798,0
116,adBonusUltraEnergyChance,260528,0
117,adBonusUltraEnergyAmount,262419,0
118,towerLives,259709,0
119,maxBossRushWave,268956,0
120,bossRushSkippedWaves,265052,0
121,tournamentTrophies,265713,0
122,weeklyTickets,265433,0
123,mapPerks,257868,0
124,wavePerkUnlocked,258908,0
125,wavePerkWaves,257081,0
126,wavePerkEffects,265242,0
127,wavePerkRerolls,262393,0
128,automationWorkshopCooldown,263008,0
129,reduceEnemyShields,263250,0
130,increaseEnemyWeakness,259571,0
131,goldenGoblinChance,261187,0
132,goldenProducerChance,266236,0
133,goldenTrainerChance,268568,0
134,supremeRunesDrop,265145,0
135,supremeSpawnChance,263177,0
136,supreme2xRunesChance,261964,0
137,supremeAlienSpawnChance,264788,0
138,supremeAlienTechDrop,258297,0
139,supTechDmg1Bonus,261088,0
140,supTechDmg2Bonus,261877,0
141,supTechGold1Bonus,268763,0
142,supTechGold2Bonus,263449,0
143,supTechPrestige1Bonus,257131,0
144,supTechCritDmgMaxLevel,260010,0
145,supTechEnemyHpMaxLevel,261146,0
146,supTechExp1Bonus,264378,0
147,supTechBossGoldMaxLevel,260737,0
148,supTechBossExpMaxLevel,257830,0
149,astralDmgGroupPerks1,261338,0
150,astralGoldGroupPerks2,257399,0
151,astralExpGroupPerks3,265562,0
152,astralEnergyGroupPerks4,269007,0
153,astralBossGroupPerks5,257956,0
154,astralSkillGroupPerks6,266977,0
155,astralSynergyGroupPerks7,265152,0
156,astralMapPerks,266916,0
